frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
16,0.667,6,9.0,-3.0,0.0,0.0,Green
16,0.667,7,14.0,5.0,0.0,0.0,Green
16,0.667,8,28.0,-8.0,0.0,0.0,Green
16,0.667,9,9.0,-7.0,0.0,0.0,Green
16,0.667,10,8.0,-2.0,0.0,0.0,Green
16,0.667,11,7.0,-3.0,0.0,0.0,Green
16,0.667,12,16.0,4.0,0.0,0.0,Green
16,0.667,13,5.0,-2.0,0.0,0.0,Green
16,0.667,14,3.0,-2.0,0.0,0.0,Green
16,0.667,15,1.0,0.0,0.0,0.0,Green
17,0.709,0,28.0,-9.0,0.0,0.0,Green
17,0.709,1,24.0,-15.0,0.0,0.0,Green
17,0.709,2,9.0,4.0,0.0,0.0,Green
17,0.709,3,9.0,3.0,0.0,0.0,Green
17,0.709,4,17.0,-5.0,0.0,0.0,Green
17,0.709,5,11.0,-3.0,0.0,0.0,Green
17,0.709,6,6.0,5.0,0.0,0.0,Green
17,0.709,7,5.0,-13.0,0.0,0.0,Green
17,0.709,8,30.0,3.0,0.0,0.0,Green
17,0.709,9,9.0,1.0,0.0,0.0,Green
17,0.709,10,6.0,-3.0,0.0,0.0,Green
17,0.709,11,2.0,-3.0,0.0,0.0,Green
17,0.709,12,4.0,-18.0,0.0,0.0,Green
17,0.709,13,8.0,5.0,0.0,0.0,Green
17,0.709,14,3.0,1.0,0.0,0.0,Green
17,0.709,15,1.0,0.0,0.0,0.0,Green
18,0.751,0,22.0,-7.0,0.0,0.0,Green
18,0.751,1,21.0,0.0,0.0,0.0,Green
18,0.751,2,7.0,-7.0,0.0,0.0,Green
18,0.751,3,8.0,-4.0,0.0,0.0,Green
18,0.751,4,9.0,-3.0,0.0,0.0,Green
18,0.751,5,11.0,5.0,0.0,0.0,Green
18,0.751,6,4.0,1.0,0.0,0.0,Green
18,0.751,7,8.0,12.0,0.0,0.0,Green
18,0.751,8,26.0,-6.0,0.0,0.0,Green
18,0.751,9,3.0,-6.0,0.0,0.0,Green
18,0.751,10,5.0,1.0,0.0,0.0,Green
18,0.751,11,7.0,10.0,0.0,0.0,Green
18,0.751,12,3.0,11.0,0.0,0.0,Green
18,0.751,13,8.0,-3.0,0.0,0.0,Green
18,0.751,14,3.0,0.0,0.0,0.0,Green
18,0.751,15,3.0,2.0,0.0,0.0,Green
19,0.792,0,19.0,3.0,0.0,0.0,Green
19,0.792,1,23.0,5.0,0.0,0.0,Green
